date,calls,abnd,att,awt,awtx Abnd ,YN
27/11/2017,544,206,36.38333333,93.36666667,1.425821759,6
28/11/2017,364,89,46.21666667,82,0.421388888,12
29/11/2017,386,109,44.96666667,85.55,0.662129629,11
30/11/2017,531,212,42.45,119.9166667,1.474768519,6
01/12/2017,484,119,36.01666667,60.11666667,0.627094907,11
04/12/2017,480,170,74.58333333,118.8666667,1.127083335,8
05/12/2017,439,102,49.25,61.96666667,0.453217592,18
06/12/2017,380,108,48,67.9,0.653969908,9
07/12/2017,396,92,42.48333333,38.21666667,0.271377315,13
08/12/2017,388,77,40.2,45.38333333,0.310370369,11
11/12/2017,486,101,47.75,67.23333333,0.503726852,13
12/12/2017,440,98,31.51666667,54.88333333,0.400659721,12
13/12/2017,420,124,42.71666667,84.73333334,0.685277776,11
14/12/2017,482,115,36.98333333,67.05,0.474027778,12
15/12/2017,501,116,30.36666667,55.01666667,0.465567129,11
18/12/2017,512,154,58.85,114.3166667,0.971203703,12
19/12/2017,449,132,35.01666667,84.63333333,0.785972223,13
20/12/2017,397,106,35.68333333,64.4,0.456006944,11
21/12/2017,433,103,37.2,75.18333334,0.400520833,12
22/12/2017,414,85,29.48333333,53.95,0.367974534,10
02/01/2018,750,298,50.05,117.5666667,2.13375,11
03/01/2018,462,155,43.38333333,104.45,0.969421297,11
04/01/2018,504,123,43.71666667,72.4,0.539872685,13
05/01/2018,431,103,45.81666667,77.4,0.461296297,12
08/01/2018,560,179,33.73333333,88.58333333,0.970775463,11
09/01/2018,530,178,36.75,93.08333334,1.02E+00,14
10/01/2018,459,118,34.6,59.28333334,0.541238425,12
11/01/2018,452,83,46.28333333,63.41666667,0.293981482,13
12/01/2018,455,115,41.95,88.33333333,0.658437502,12
15/01/2018,511,122,37.15,95.18333333,0.685335649,12
16/01/2018,426,106,37.58333334,58.21666667,0.536006944,12
17/01/2018,406,88,54.46666667,64.83333333,0.433877314,12
18/01/2018,415,81,49.81666667,79.63333334,0.332777776,15
19/01/2018,486,116,43.01666667,91.16666666,0.636979168,10
22/01/2018,568,156,43.6,106.15,0.819143518,15
23/01/2018,446,140,66.63333334,114.2,0.818194443,13
24/01/2018,404,96,34.25,60.46666667,0.369895832,14
25/01/2018,515,101,31.98333333,60.48333333,0.405960647,10
26/01/2018,29,29,0,131.7,0.320115739,4
29/01/2018,637,275,45.08333333,115.0333333,1.933368055,10
30/01/2018,430,105,53.11666666,65.4,0.482847222,11
31/01/2018,475,154,64.3,96.76666667,0.976400464,9
